LU, FAR, pop_density (sf per capita), num_stories, internal demands (lpcd), percent_pot, percent_softscape, percent_irr
Golf, 0.1, 10000, 1, 250, 0.5, 0.95, 1.0
VLDR, 0.07, 800, 2, 250, 0.8, 0.7, 0.2
LDR, 0.2, 800, 2, 250, 0.8, 0.5, 0.5
MDR, 0.4, 600, 3, 250, 0.8, 0.4, 0.5
HDR, 0.5, 300, 6, 250, 0.8, 0.3, 0.8
MU, 1.0, 300, 6, 250, 0.75, 0.1, 0.8
Office, 0.6, 1000, 8, 300, 0.50, 0.2, 0.8
Hotel, 0.9, 500, 10, 820, 0.65, 0.2, 0.8
School, 0.9, 600, 2, 320, 0.45, 0.5, 0.8
Civic, 0.9, 1000, 4, 620, 0.4, 0.3, 0.8
Retail, 0.6, 1000, 2, 300, 0.5, 0.5, 0.8
